DATE,AT0000730007,AT0000BAWAG2,AT0000641352,AT0000652011,AT0000644505,AT0000APOST4,AT0000743059,AT0000606306,AT0000652250,AT0000946652,AT0000720008,AT0000821103,AT0000746409,AT0000908504,AT0000937503,AT0000831706,AT0000837307
2022-06-17,52.65,43.72,26.3,31.77,60.1,32.9,39.24,13.79,12.5,53.1,6.76,7.48,74.1,24.0,32.9,28.43,6.95
2022-06-18,53.25,44.16,26.125,32.29,60.0,32.65,39.24,13.91,12.2,53.55,6.725,7.99,75.15,24.15,33.6,28.7,7.08
2022-06-19,53.15,43.86,26.0,31.87,60.8,32.55,39.44,13.7,12.32,54.35,6.75,8.02,74.2,24.1,32.6,28.36,7.0
2022-06-20,53.45,44.21,26.15,31.49,59.7,33.15,38.98,13.745,12.38,53.6,6.685,8.055,72.65,24.15,32.96,28.14,6.95
2022-06-23,53.6,44.06,26.3,31.47,57.5,32.9,39.63,13.79,12.2,52.9,6.935,8.0,71.5,23.9,32.39,27.98,6.89
2022-06-24,53.3,44.1,26.375,31.65,58.1,33.0,39.76,13.86,12.4,53.3,6.87,7.99,69.75,23.8,32.6,27.88,6.86
2022-06-25,52.8,43.5,26.4,31.69,58.4,32.5,39.25,13.88,12.34,53.1,6.89,8.06,69.25,23.8,32.16,27.56,6.96
2022-06-26,53.35,43.36,26.45,31.84,59.0,32.65,39.235,13.85,12.28,53.4,6.88,8.085,68.85,24.025,30.96,27.44,7.08
2022-06-27,52.275,42.88,26.45,31.27,58.2,32.9,44.05,14.0,12.4,54.3,6.86,8.11,69.525,24.15,30.7,27.33,7.14
2022-06-30,52.1,42.98,26.325,31.41,57.3,33.0,43.83,13.97,12.14,54.8,6.85,8.11,67.85,24.35,30.34,27.12,7.14
2022-07-01,50.8,41.12,25.6,30.77,54.7,33.15,42.63,13.9,11.58,52.2,6.82,8.02,68.125,23.75,28.9,26.78,7.07
2022-07-02,50.35,40.52,25.55,30.6,54.2,32.8,42.09,13.68,11.3,51.6,6.84,8.025,69.95,24.55,28.9,26.42,7.15
2022-07-03,50.85,40.8,25.175,30.14,57.7,32.7,42.55,13.97,11.18,51.6,6.83,8.09,70.4,24.6,29.22,26.7,7.22
2022-07-07,50.5,42.34,25.1,30.74,55.5,32.9,43.215,14.26,11.68,52.2,6.86,8.1,69.4,25.85,29.86,26.4,6.97
2022-07-08,50.35,42.4,25.15,30.45,53.6,32.75,42.71,14.19,11.62,50.8,6.86,8.115,70.7,25.4,29.54,26.38,6.89
2022-07-09,52.25,43.1,24.65,30.44,54.7,33.0,43.69,14.3,11.96,54.2,6.88,8.16,72.35,25.95,29.6,26.66,7.0
2022-07-10,54.1,44.56,25.05,31.46,55.8,32.85,43.58,14.45,12.0,51.9,6.92,8.2,74.5,26.4,30.46,27.18,7.05
2022-07-11,54.7,44.12,24.675,31.82,55.7,33.15,42.99,14.59,12.02,52.3,6.94,8.18,73.6,26.45,30.84,27.36,6.98
2022-07-14,55.125,43.16,24.65,30.85,56.1,32.85,42.7,14.46,12.6,52.8,6.93,8.175,74.85,26.1,30.88,27.32,7.15
2022-07-16,53.8,42.58,24.375,30.71,54.4,32.25,42.2,14.1,12.56,52.0,6.91,8.09,75.35,26.025,30.88,27.36,7.17
2022-07-17,54.0,42.66,24.625,30.13,55.1,32.25,42.13,14.01,12.68,52.0,7.0,8.1,75.4,25.9,30.36,27.77,7.17
2022-07-18,56.25,42.0,24.65,31.12,56.0,32.6,42.59,13.94,12.8,53.2,7.06,8.19,76.05,26.45,30.58,27.76,7.12
2022-07-21,57.8,41.4,24.6,31.3,56.5,33.4,41.99,14.05,12.72,54.7,7.08,8.17,76.1,26.5,30.68,27.68,7.1
2022-07-22,57.525,40.82,24.8,31.84,56.1,32.15,41.49,14.15,12.8,54.0,7.06,8.13,77.1,26.85,30.22,27.62,7.12
2022-07-23,58.7,40.84,24.75,32.19,54.3,32.1,41.895,14.01,13.08,54.0,7.08,8.18,77.5,26.55,30.46,27.72,7.2
2022-07-24,59.0,42.2,24.75,32.29,54.4,32.025,42.47,14.24,12.94,54.4,7.07,8.26,79.55,27.125,31.64,27.56,7.3
2022-07-25,59.4,42.2,25.875,33.07,55.3,32.3,43.18,14.27,13.08,54.6,7.1,8.29,78.0,27.35,31.62,28.3,7.28
2022-07-28,58.35,42.04,25.65,32.56,56.3,31.75,42.265,14.01,12.98,54.0,7.07,8.24,78.9,26.95,31.06,27.89,7.35
2022-07-29,57.95,40.44,25.5,31.8,54.2,33.15,40.91,13.5,12.7,53.1,7.08,8.14,77.35,26.675,30.5,27.44,7.34
2022-07-30,59.15,41.94,25.275,32.51,55.1,33.35,40.92,13.4,12.86,53.6,7.09,8.17,75.95,26.75,31.2,27.32,7.3
2022-07-31,58.5,42.44,25.5,32.41,57.1,33.375,41.25,13.47,13.08,54.75,7.07,8.11,75.8,26.525,30.92,27.28,7.25
2022-08-04,58.85,44.16,26.25,32.91,59.3,34.6,42.84,13.93,12.74,57.0,7.09,8.15,80.7,26.7,31.24,27.3,7.12
2022-08-05,59.9,44.56,25.8,32.71,58.8,34.4,42.37,13.89,12.66,56.8,7.09,8.13,83.05,26.45,31.0,26.94,7.17
2022-08-06,60.4,44.12,25.45,32.38,56.8,34.45,43.155,13.61,12.8,56.0,7.13,8.13,80.6,26.5,30.96,26.96,7.17
2022-08-07,59.4,44.65,25.275,32.4,57.9,34.35,42.48,13.73,12.66,56.1,7.16,8.09,82.2,26.55,30.72,27.0,7.12
2022-08-08,59.7,45.98,25.3,32.68,58.2,34.9,42.79,14.04,12.78,57.0,7.13,8.11,81.6,26.45,30.86,27.0,7.2
2022-08-11,60.9,44.66,25.05,32.74,59.7,34.55,42.42,14.03,12.52,56.7,7.05,8.19,81.3,26.55,30.98,26.92,7.26
